food,brand,categories,tyrosine_mg,phenylalanine_mg,fiber_g,protein_g,carbs_g,fat_g,polyphenol_flag,fermented_flag,dopamine_support_score,predicted_score
Kombucha - Cola,"Live Soda  Llc, LIVE Soda","Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,66.67,0.0,1.0,1.0,25.0,25.028091828893064
Raspberry Chia Kombucha,Millennium Products,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,1.7,0.8457,5.074,1.2685,1.0,1.0,25.17,25.02450944073853
"Synergy, Organic Raw Kombucha, Enlightened, Grape Chia",Millennium Products,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,1.7,0.8457,5.074,1.2685,1.0,1.0,25.17,25.02450944073853
Tantric Turmeric Organic & Raw Kombucha,GT's,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,100.0,0.0,1.0,1.0,25.0,25.023804639528745
Pine Mango Kombucha,Cha Cha,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,1.0,0.0,3.3,0.0,1.0,1.0,25.1,25.01794150064066
Danone Iaurt de baut cu capsuni,Danone,"Băuturi, Produse lactate, Alimente fermentate, en:Fermented milk products, en:Dairy drinks, Băuturi fermentate, en:Flavoured milks, en:Fermented milk drinks, en:Strawberry milks, Iaurt de baut cu fructe",0.0,0.0,0.0,2.9,10.6,2.5,1.0,1.0,25.0,25.004718177542188
Strawberry lemonade kombucha,Humm,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,5.42,0.0,1.0,1.0,25.0,25.004715282398372
Organic Raw Kombucha,Millennium Products,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.3826638477801,0.0,1.0,1.0,25.0,25.004715282398372
"Kombucha, essence of lemon",Wonder Drink,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,6.28,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha,Chica Bella  Inc.,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.8,0.0,1.0,1.0,25.0,25.004715282398372
Ginger Honey Lemon Kombucha,Wegmans,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.38,0.0,1.0,1.0,25.0,25.004715282398372
"Organic Raw Kombucha, Hibiscus No 7","Millennium Products, Reisch","Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.3826638477801,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha Tea,Kombucha Town,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.3898305084746,0.0,1.0,1.0,25.0,25.004715282398372
"Kombucha, essence of peach",Wonder Drink,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,6.28,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha,,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,25.0,25.004715282398372
Love,Brew Dr. Kombucha,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.864454266599,0.0,1.0,1.0,25.0,25.004715282398372
Organics kombucha,"Organics,  The Hain Celestial Group  Inc.","Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.17,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha,Health-Ade,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.59,0.0,1.0,1.0,25.0,25.004715282398372
GT’s SYNERGY Raw Kombucha: Marine Greens,Millennium Products,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.42283298097252,3.3826638477801,0.0,1.0,1.0,25.0,25.004715282398372
CLEAR MIND,BREW DR. KOMBUCHA,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Fermented foods,Hot beverages,Plant-based beverages,Teas,Fermented drinks,Tea-based beverages,Kombuchas",0.0,0.0,0.0,0.0,3.62,0.0,1.0,1.0,25.0,25.004715282398372
Lemon ginger kombucha,Humm,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.58,0.0,1.0,1.0,25.0,25.004715282398372
"Kombucha wonder drink, sparkling fermented tea, cherry cassis, cherry cassis",Kombucha Wonder Drink Llc,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,5.31,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha,Townshend's Tea Company,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.35,0.0,1.0,1.0,25.0,25.004715282398372
SUPERBERRY,BREW DR. KOMBUCHA,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.11,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha,Brew Dr. Kombucha,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.35,0.0,1.0,1.0,25.0,25.004715282398372
Holy Kombucha,Holy Kombucha  Inc.,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.38,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha Blueberry and Ginger,Mojo,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.2,0.1,1.0,1.0,25.0,25.004715282398372
Kombucha,Great Life  Llc,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.6610169491525,0.0,1.0,1.0,25.0,25.004715282398372
"Craft Brewed Kombucha, Ginger",Great Life  Llc,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha,Tapuat Brewing Co,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.44,4.41,0.0,1.0,1.0,25.0,25.004715282398372
Kombucha,Buchi,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,4.44,0.0,1.0,1.0,25.0,25.004715282398372
Living foods enlightened organic kombucha watermelon wonder,GT's,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.81,0.0,1.0,1.0,25.0,25.004715282398372
T s enlightened strawberry synergy organic vegan raw kombucha,GT's,"Plant-based foods and beverages, Beverages, Fermented foods, Hot beverages, Plant-based beverages, Teas, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.3826638477801,0.0,1.0,1.0,25.0,25.004715282398372
Classic gingerberry,Millennium Products,"Beverages, Fermented foods, Fermented drinks, Tea-based beverages, Kombuchas",0.0,0.0,0.0,0.0,3.33,0.0,1.0,1.0,25.0,25.004715282398372
Protein jogurt,Zbregov,"Mliječni proizvodi, en:Fermented foods, en:Desserts, en:Fermented milk products, en:Dairy desserts, en:Fermented dairy desserts, en:Fermented dairy desserts with fruits, Jogurt, en:Fruit yogurts, en:Strawberry yogurts",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Iogurte Líquido Frutos Tropicais,"Hacendado, Schreiber","Bebidas,Laticínios,Alimentos Fermentados,Produtos lácteos fermentados,Sobremesas,Sobremesas de laticínios,Bebidas lácteas,en:Fermented dairy desserts,Bebidas fermentadas,Iogurtes,Bebidas lácteas fermentadas,en:Flavoured fermented dairy desserts,Iogurtes líquidos,Iogurtes aromatizados",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Yogur para beber fresa,Celgan,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Sveltesse - Duo fresa y kiwi 0%,Nestlé,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
"Smoothie&go bífidus líquido con mango, melocotón,",Danone,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
HEALTH KOMBUCHA hibiscus,HEALTH KOMBUCHA,"Plant-based foods and beverages, Beverages, Fermented foods, Hot beverages, Plant-based beverages, Fermented drinks, Herbal teas, Tea-based beverages, Hibiscus, Kombuchas",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Yaourt gourmand,Mamie Nova,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts, Strawberry yogurts, en:stirred-yogurts",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Iogurt Maduixa,La Torre,"Productes làctics, Aliments fermentats, Postres, Productes làctics fermentats, Postres làctics, en:Fermented dairy desserts, en:Fermented dairy desserts with fruits, Iogurt, Iogurs de fruita, en:Strawberry yogurts",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
Yogurt batido con arandanos,Yaranza,"Bebidas, Lácteos, Comidas fermentadas, Postres, Productos fermentados de la leche, Postres lácteos, Bebida lácteas, en:Fermented dairy desserts, Bebidas fermentadas, Bebidas de leche fermentada, Yogures, Yogures para beber",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,24.998735291969687
